epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6493,2.32551,4.2593,2.02778,0,0,0,0,1.92699,4.8547,1.74883,0.0671788,0.000164931,0.000164931
2,90.5189,2.00796,2.48222,1.75409,0.39773,0.28081,0.36676,0.23004,1.78402,1.99766,1.47785,0.0339793,0.000298769,0.000298769
3,124.917,1.89337,1.64597,1.60929,0.7562,0.47273,0.61423,0.38107,1.88022,1.247,1.46519,0.00074683,0.000399608,0.000399608
4,159.246,1.79311,1.31087,1.52798,0.87879,0.60144,0.73924,0.40871,1.68669,1.08175,1.43149,0.0003515,0.0003515,0.0003515
5,193.489,1.69971,1.16761,1.4678,0.92792,0.83059,0.8856,0.45952,1.75722,1.0736,1.42821,0.000302,0.000302,0.000302
6,228.251,1.66564,1.06646,1.44855,0.84621,0.87734,0.91607,0.52296,1.52217,0.86385,1.27714,0.0002525,0.0002525,0.0002525
7,262.87,1.63696,1.01952,1.42867,0.83172,0.77374,0.83252,0.49025,1.52086,0.86577,1.2898,0.000203,0.000203,0.000203
8,296.982,1.57294,0.94884,1.38277,0.89394,0.83261,0.84668,0.46974,1.58045,0.80689,1.30742,0.0001535,0.0001535,0.0001535
9,331.122,1.52702,0.90803,1.35484,0.88615,0.88312,0.85751,0.52927,1.46105,0.75317,1.22328,0.000104,0.000104,0.000104
10,365.37,1.50609,0.88439,1.35126,0.89444,0.89755,0.88444,0.53079,1.46858,0.73653,1.24562,5.45e-05,5.45e-05,5.45e-05
